student_id,first_name,last_name,email,major,address,phone
10000070,Robert,Johnson,rjohnson@university.edu,Biology,123 Main St,555-1234
10000071,Bob,Johnson,robert.johnson@university.edu,Biology,123 Main Street,555-1234
10000072,R.,Johnson,r.johnson@university.edu,Bio,123 Main St Apt 2,(555) 123-4000
10000073,Jennifer,Smith,jen.smith@university.edu,Psychology,456 Oak Ave,555-5678
10000074,Jenny,Smith,jennifer.smith@university.edu,Psych,456 Oak Avenue,5555678
10000075,Michael,Chen,m.chen@university.edu,Computer Science,789 Pine Rd,555-9012
10000076,Mike,Chen,michael.chen@university.edu,CS,789 Pine Road,555-9012
10000077,Michael,Chen,mchen@university.edu,Computer Sci,789 Pine Rd Unit A,555-901-2000
10000078,Elizabeth,Williams,liz.williams@university.edu,Marketing,321 Elm St,555-3456
10000079,Liz,Williams,elizabeth.williams@university.edu,Marketing,321 Elm Street,555-3456
10000080,David,Lee,david.lee@university.edu,Engineering,654 Maple Dr,555-7890
10000081,Dave,Lee,d.lee@university.edu,Mechanical Engineering,654 Maple Drive,5557890
10000082,Katherine,Brown,kate.brown@university.edu,Nursing,987 Cedar Ln,555-2345
10000083,Kate,Brown,katherine.brown@university.edu,Nursing,987 Cedar Lane,555-2345
10000084,Kathy,Brown,k.brown@university.edu,Nursing Program,987 Cedar Ln Apt B,555-234-5000
